P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3
FBgn0001311	0	0	1	1	0	0	1	0	8	0	1	0
FBgn0001316	637	767	596	412.001	404	351	532	867	696	425	531	383
FBgn0001319	1	1	0	1	0	0	0	0	0	0	0	0
FBgn0001320	14	28	29	9	7	3	14	40	26	22	20	14
FBgn0001321	0	0	5	0	1	1	0	0	3	2	4	1
FBgn0001323	7	9	4	4	3	6	7	16	20	8	19	4
FBgn0001324	753	677	604	300	340	237	622	909	825	337	376	288
FBgn0001325	0	0	0	0	0	2	0	0	0	0	0	0
FBgn0001330	116	215	262	0	0	0	160	146	182	195	174	168
FBgn0001341	180	321	405	0	0	0	532	525	631.001	562	545	563
FBgn0001404	1476	1531	1391.001	1	1	0	1302.001	1695.012	1740.001	1538	1728	1345
FBgn0001491	152	155	227	0	0	0	186	130	179	140	151	181
FBgn0001565	2266	2322	3191	0	0	0	784.06	1143	813.18	2348.046	2559	2650.97
FBgn0001612	99	100	137	0	0	0	78	81	111	102	84	76
FBgn0001624	1264.999	1281.001	1309.011	53	40	25	1072	1571	1435.001	1195.001	1244.001	1045.001
FBgn0001941	442	495.598	516	202	230	191	591.001	644	625	280	317.999	331
FBgn0001942	22723.953	24545.283	28476.206	10043.999	10675.178	9669.001	14479.891	14970.071	16263.939	10811.992	11554.965	10537.114
FBgn0001961	204	215	256	115	123	85	221	241	261	142	129	109
FBgn0001965	268	299.002	231	160	163	135	177	298	264	118	114	127
FBgn0001967	1	3	0	0	0	0	0	0	0	1	1	0
FBgn0001970	373	348	365	153	169	128	414	395	396	150	187	136
FBgn0001977	478	644.371	745	256.739	281.915	234.722	857	750	954	346	299	305
FBgn0001978	3500	3479	3339	982	896	797	2024.019	2809	2657.004	1234	1100	978.024
FBgn0001981	0	0	0	0	0	0	1	1	0	2	0	0
FBgn0001983	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0001986	371	391	514	165	207	198	255	351	334	200	208	209
FBgn0001987	477	502	429.999	237	276	245	747	927.001	979	328	377	302
FBgn0001989	1561	1546	1839	604	596	713	1665	1459.756	1708.051	664	603	670
FBgn0001990	188	163	245	81	87	82	242	273	288	142	168	181
FBgn0001991	3017	3149.023	3408.001	1846.999	1995	1536	1786.128	2313.999	1740.15	812	895	796
FBgn0001992	59.445	104.25	102.443	154.814	68.063	93.041	202	272	294	123	106	107
FBgn0001994	1113	1406	1273	601	740	655	418	775	485	319	395	312
FBgn0001995	258	236	366	127	153	111	281	222	313	155	161	125
FBgn0002021	332.404	346	426	179	176	138	265	244	300	116	163	160
FBgn0002022	5560	6394.289	6404.258	1875	1725	1424	6010	6050.045	6811.776	2470	2486	2217
FBgn0002023	0	0	0	0	2	0	1	1	0	0	0	2
FBgn0002031	551	559	757	269	251	208	373	361	481	218	266	255
FBgn0002036	145	164	185	54	34	42	146	145	140	43	63	48
FBgn0002044	1073	1208	1155	472	396	345	978.004	1356	1338	382	438	331
FBgn0002069	1294	1486	1684	703	661	530	1956.972	2025	2413.951	839	864	735
FBgn0002121	1645	1531.002	1451.999	543	675	664	1550	2512.013	2158.077	840.029	945.21	867
FBgn0002174	631.999	635	718	308	230	267	440	508	577.001	311	252.001	228
FBgn0002183	635	598	611	362	319	244	538	749	614	393	445	371
FBgn0002283	231	229	227	75	75	73	236	250	272	166	135	123
FBgn0002284	1067	1124.001	1225	431	449	479	1072	935	1116	449	436	503
FBgn0002306	960.001	713	624	251	231	267	373	421.999	715	266.001	351	245.999
FBgn0002354	72	64	108	34	34	34	56	34	44	28	37	41
FBgn0002413	1244	1209	1187.001	492.999	540.071	494	1302	1683.059	1581	657	554.183	540
FBgn0002431	1911.001	1842.013	1699.03	962	1079	701	1405	2233.063	2061	969	1108	806
FBgn0002440	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0002441	587	754.001	714	227	167	151	663	856	853.001	251	242	157
FBgn0002466	0	1	2	1	1	0	4	5	3	0	0	0
